"","x"
"V1",0.258647522423416
"V2",0.261690645711496
"V3",0.144939805381
"V4",-0.169496991496999
"V5",0.093093409202993
"V6",0.363955092616379
"V7",0.177160853985697
"V8",-0.473910357803106
"V9",0.0968649722635746
"V10",-0.398730676621199
"V11",0.194020613300381
"V12",-0.309927364811301
"V13",-0.231250880053267
"V14",0.0767081919020711
"V15",0.256873553385958
"V16",0.316452483122703
"V17",-0.325568839849439
"V18",0.1092216958059
"V19",0.329575243405998
"V20",0.0264050448313355
"V21",0.394609734416008
"V22",-0.334256411530077
"V23",0.0872833728790283
"V24",0.139711667783558
"V25",0.170469468925148
"V26",0.213185694767162
"V27",0.15833903895691
"V28",-0.23291040584445
"V29",0.442903427407146
"V30",-0.313381455373019
"V31",0.122971676290035
"V32",-0.045801255851984
"V33",0.163368320791051
"V34",-0.251000591088086
"V35",-0.187485760077834
"V36",0.141186680877581
"V37",0.230906510259956
"V38",0.0997924162074924
"V39",0.243863298324868
"V40",0.0690051694400608
"V41",-0.261434349231422
"V42",-0.135812304215506
"V43",0.222787410253659
"V44",0.156325513962656
"V45",0.416309557855129
"V46",0.37596963532269
"V47",-0.385099880862981
"V48",-0.101564906071872
"V49",0.293444794602692
"V50",0.286678092554212
"V51",-0.213136268779635
"V52",-0.341056154657963
"V53",0.118960896041244
"V54",0.200472917873412
"V55",-0.0360059797530994
"V56",0.117626262654085
"V57",-0.131544999909238
"V58",0.24687209475087
"V59",-0.249156738049351
"V60",-0.202193542732857
"V61",-0.246443567797542
"V62",0.202624738682061
"V63",-0.34035780467093
"V64",0.381896062754095
"V65",-0.273500598035753
"V66",-0.126164753455669
"V67",0.27572366874665
"V68",-0.270860434044152
"V69",0.275331760756671
"V70",-0.289523414336145
"V71",-0.344729130156338
"V72",0.0926574608311057
"V73",-0.174790238004789
"V74",-0.010002349736169
"V75",0.225950024789199
"V76",0.14643420628272
"V77",-0.209254128858447
"V78",-0.308578586089425
"V79",0.200976990396157
"V80",0.124838202144019
"V81",0.155778234824538
"V82",-0.291916992515326
"V83",-0.158615658059716
"V84",0.0915815835469402
"V85",-0.124902946874499
"V86",-0.095213302411139
"V87",-0.0926021365448833
"V88",0.0616390933282673
"V89",-0.151876587071456
"V90",-0.456805950496346
"V91",0.290498830378056
"V92",-0.144162540789694
"V93",0.370121586602181
"V94",-0.115153432358056
"V95",-0.230385101400316
"V96",0.248444912955165
"V97",0.172221841101418
"V98",-0.32943145558238
"V99",-0.145165754016489
"V100",-0.128283829428256
"V101",-0.443476749584079
"V102",0.263409831983154
"V103",0.23555645160377
"V104",0.242527953290846
"V105",-0.231722640746739
"V106",-0.324465170037001
"V107",0.303768980316818
"V108",0.269022569991648
"V109",0.147949201986194
"V110",-0.390348167158663
"V111",0.225593536160886
"V112",-0.14550225646235
"V113",-0.0520599829033017
"V114",0.39522599731572
"V115",-0.207503802143037
"V116",0.227343673817813
"V117",-0.375581945758313
"V118",0.0527194966562092
"V119",-0.179113960824907
"V120",0.234949000179768
"V121",0.0752839907072485
"V122",-0.13296390324831
"V123",-0.306318016722798
"V124",0.369760272558779
"V125",0.183197341859341
"V126",0.229918682947755
"V127",0.0534396220464259
"V128",-0.287843598052859
"V129",-0.257625218480825
"V130",0.181057201698422
"V131",-0.140207471791655
"V132",-0.27855240739882
"V133",0.232666131108999
"V134",-0.0592126660048962
"V135",-0.310133121209219
"V136",0.0911930858565028
"V137",0.205383772030473
"V138",0.0670927315950394
"V139",-0.174782450310886
"V140",0.175960873020813
"V141",0.19928716798313
"V142",-0.254538227105513
"V143",-0.238689886406064
"V144",-0.216212553845253
"V145",-0.258926661685109
"V146",0.364211164356675
"V147",-0.291101569309831
"V148",-0.21970808878541
"V149",0.0999667515861802
"V150",-0.0499957366846501
"V151",-0.327927492558956
"V152",-0.268141527660191
"V153",-0.11169615527615
"V154",0.142208931269124
"V155",-0.401622578501701
"V156",-0.282565443543717
"V157",-0.328475282381987
"V158",0.191558651800733
"V159",-0.377398978918791
"V160",0.290483857970685
"V161",-0.251844911370426
"V162",0.251119795255363
"V163",0.0666185951558873
"V164",-0.224506822880358
"V165",-0.222801331547089
"V166",0.150252165505663
"V167",-0.0333023765124381
"V168",0.256786058656871
"V169",0.105289774946868
"V170",-0.176434684544802
"V171",-0.191608108114451
"V172",0.15268881386146
"V173",-0.101466071326286
"V174",0.0333132166415453
"V175",-0.242207151837647
"V176",0.255318880081177
"V177",-0.168346337566618
"V178",0.305608177557588
"V179",0.20579565956723
"V180",0.289169497787952
"V181",0.0734176886908244
"V182",-0.349133094772696
"V183",-0.187243262305856
"V184",0.246973292436451
"V185",0.160160121682566
"V186",-0.282681912183762
"V187",0.159844815731049
"V188",0.392418491188437
"V189",0.181639989372343
"V190",0.213674537837505
"V191",-0.0759529024362564
"V192",0.0948754255659879
"V193",0.269576799124479
"V194",-0.407896405085921
"V195",0.397034198860638
"V196",-0.0470070000737905
"V197",-0.170099199167453
"V198",0.245789153501391
"V199",0.151027178158984
"V200",0.204748216550797
"V201",0.311095629818738
"V202",-0.158763957209885
